name,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24
Alpine,-14,-6,9,22,-6,10,10,-11,,,,,,,,,,,,,,,,
Aston Martin,1,4,9,18,11,13,14,-4,,,,,,,,,,,,,,,,
Ferrari,36,-23,56,73,64,34,67,71,,,,,,,,,,,,,,,,
Haas F1 Team,14,47,10,40,12,8,-13,25,,,,,,,,,,,,,,,,
Kick Sauber,3,12,0,-22,10,9,13,7,,,,,,,,,,,,,,,,
McLaren,71,101,71,92,86,118,82,83,,,,,,,,,,,,,,,,
Mercedes,67,69,59,60,46,51,6,9,,,,,,,,,,,,,,,,
RB,-10,42,14,22,18,-6,24,23,,,,,,,,,,,,,,,,
Red Bull Racing,19,67,46,46,21,60,71,31,,,,,,,,,,,,,,,,
Williams,10,26,19,13,27,31,42,16,,,,,,,,,,,,,,,,
